Abadiano (Los Bajos) , Michoacán. Clave Lada 353
Ignacio Allende (Santa Maria de la) , Zacatecas. Clave Lada 467
Ignacio Allende , Chihuahua. Clave Lada 636
Ignacio Allende , Durango. Clave Lada 676
Ignacio Allende , Tabasco. Clave Lada 913
Ignacio de la Llave , Veracrúz. Clave Lada 285
Ignacio Ramirez , Durango. Clave Lada 676
Ignacio Zaragoza (Colonia Ignac , Zacatecas. Clave Lada 433
Ignacio Zaragoza (Kilometro Clave Lada 80) , Quintana Roo. Clave Lada 984
Ignacio Zaragoza , Chihuahua. Clave Lada 636
Iguala , Guerrero. Clave Lada 733
Igualapa , Guerrero. Clave Lada 741
Ihuatzio , Michoacán. Clave Lada 434
Illescas , San Luis Potosí. Clave Lada 458
Imuris , Sonora. Clave Lada 632
Indaparapeo , Michoacán. Clave Lada 451
Inde , Durango. Clave Lada 649
Independencia (Cologachi) , Chihuahua. Clave Lada 659
Independencia , Chiapas. Clave Lada 992
Independencia , Sonora. Clave Lada 653
Infiernillo (Morelos de Infiernillo) , Michoacán. Clave Lada 753
Ingeniero Francisco Murguia (Km. Clave Lada 49) , Baja California. Clave Lada 658
Ingeniero Luis B. Sanchez , Sonora. Clave Lada 653
Ingenio Alvaro Obregon , Quintana Roo. Clave Lada 983
Ingenio Benito Juarez , Tabasco. Clave Lada 937
Ipazoltic , Jalisco. Clave Lada 385
Iquinuapa , Tabasco. Clave Lada 914
Iramuco , Guanajuato. Clave Lada 417
Irapuato , Guanajuato. Clave Lada 462
Iratzio , Michoacán. Clave Lada 443
Irimbo , Michoacán. Clave Lada 786
Isaac Arriaga (Santa Ana Mance , Michoacán. Clave Lada 438
Isla Aguada , Camp. Clave Lada 982
Isla de Cedros , Baja California. Clave Lada 616
Isla del Bosque , Sinaloa. Clave Lada 695
Isla Mujeres , Quintana Roo. Clave Lada 998
Isla , Veracrúz. Clave Lada 283
Islas Agrarias Grupo B , Baja California. Clave Lada 686
Islita , Sonora. Clave Lada 653
Iturbide , Nuevo León. Clave Lada 821
Ixcamilpa , Puebla. Clave Lada 275
Ixcapuzalco , Guerrero. Clave Lada 736
Ixcateopan de Cuauhtemoc , Guerrero. Clave Lada 736
Ixcatepec , Veracrúz. Clave Lada 785
Ixhuacan de los Reyes , Veracrúz. Clave Lada 282
Ixhuatan , Chiapas. Clave Lada 919
Ixhuatlan de Madero , Veracrúz. Clave Lada 746
Ixhuatlan del Cafe , Veracrúz. Clave Lada 273
Ixhuatlan del Sureste , Veracrúz. Clave Lada 921
Ixil , Yucatán. Clave Lada 991
Ixmatlahuacan , Veracrúz. Clave Lada 288
Ixmiquilpan , Hidalgo. Clave Lada 759
Ixpantepec Nieves , Oaxaca. Clave Lada 953
Ixtacomitan Clave Lada 3ra. Seccion , Tabasco. Clave Lada 993
Ixtacomitan , Chiapas. Clave Lada 932
Ixtaczoquitlan , Veracrúz. Clave Lada 272
Ixtahuiata (La Legua) , Puebla. Clave Lada 231
Ixtapa de la Concepcion , Nayarit. Clave Lada 327
Ixtapa Zihuatanejo , Guerrero. Clave Lada 755
Ixtapa , Chiapas. Clave Lada 961
Ixtapa , Jalisco. Clave Lada 322
Ixtapaluca , Estado de México. Clave Lada 55
Ixtapan de la Sal , Estado de México. Clave Lada 721
Ixtapan del Oro , Estado de México. Clave Lada 726
Ixtenco , Tlaxcala. Clave Lada 247
Ixtepec , Oaxaca. Clave Lada 971
Ixtepec , Puebla. Clave Lada 233
Ixtla , Guanajuato. Clave Lada 413
Ixtlahuaca de Villada , Estado de México. Clave Lada 723
Ixtlahuaca , Estado de México. Clave Lada 712
Ixtlahuacan de los Membrillos , Jalisco. Clave Lada 376
Ixtlahuacan del Rio , Jalisco. Clave Lada 373
Ixtlahuacan , Colima. Clave Lada 313
Ixtlan de Juarez , Oaxaca. Clave Lada 951
Ixtlan de los Hervores , Michoacán. Clave Lada 328
Ixtlan del Rio , Nayarit. Clave Lada 324
Ixtlilco El Grande , Morelos. Clave Lada 769
Izamal , Yucatán. Clave Lada 988
Iztacalco , CDMX (Ciudad de México). Clave Lada 55
Iztapalapa , CDMX (Ciudad de México). Clave Lada 55
Izucar de Matamoros , Puebla. Clave Lada 243
J Jesus Diaz Tzirio , Michoacán. Clave Lada 354
Jacala , Hidalgo. Clave Lada 441
Jacona de Plancarte , Michoacán. Clave Lada 351
Jaguey Blanco , Hidalgo. Clave Lada 738
Jaguey de Tellez (Estacion Tellez) , Hidalgo. Clave Lada 743
Jala , Nayarit. Clave Lada 324
Jalacingo , Veracrúz. Clave Lada 226
Jalapa (Xalapa) , Veracrúz. Clave Lada 228
Jalapa del Marque , Oaxaca. Clave Lada 995
Jalapa , Baja California. Clave Lada 686
Jalapa , Hidalgo. Clave Lada 745
Jalapa , Tabasco. Clave Lada 932
Jalapilla , Veracrúz. Clave Lada 272
Jalcocotan , Nayarit. Clave Lada 327
Jalcomulco , Veracrúz. Clave Lada 279
Jalipa , Colima. Clave Lada 314
Jalostotitlan , Jalisco. Clave Lada 431
Jalpa de Canovas , Guanajuato. Clave Lada 476
Jalpa de Mendez , Tabasco. Clave Lada 914
Jalpa , Zacatecas. Clave Lada 463
Jalpan de Serra , Querétaro. Clave Lada 441
Jalpilla , San Luis Potosí. Clave Lada 489
Jaltenango de la Paz , Chiapas. Clave Lada 992
Jaltepec , Hidalgo. Clave Lada 775
Jaltiche de Abajo , Aguascalientes. Clave Lada 495
Jaltipan , Veracrúz. Clave Lada 922
Jaltocan , Hidalgo. Clave Lada 789
Jaltomate , Aguascalientes. Clave Lada 449
Jamapa , Veracrúz. Clave Lada 285
Jamay , Jalisco. Clave Lada 392
Janambo , Michoacán. Clave Lada 438
Janamuato , Michoacán. Clave Lada 438
Janos , Chihuahua. Clave Lada 636
Jaracuaro , Michoacán. Clave Lada 434
Jaral de Berrios , Guanajuato. Clave Lada 428
Jaral del Progreso , Guanajuato. Clave Lada 411
Jaral del Refugio (El Jaral) , Guanajuato. Clave Lada 417
Jaripo , Michoacán. Clave Lada 353
Jaumave , Tamaulipas. Clave Lada 832
Jecopaco , Sonora. Clave Lada 643
Jerecuaro , Guanajuato. Clave Lada 421
Jesus Carranza (La Colorada) , Chihuahua. Clave Lada 656
Jesus Carranza , Veracrúz. Clave Lada 924
Jesus del Monte (El Talayote) , Guanajuato. Clave Lada 476
Jesus Maria Garza , Chiapas. Clave Lada 965
Jesus Maria , Aguascalientes. Clave Lada 449
Jesus Maria , Guanajuato. Clave Lada 419
Jesus Maria , Jalisco. Clave Lada 348
Jicaltepec , Veracrúz. Clave Lada 235
Jilotepec , Estado de México. Clave Lada 761
Jilotlan de los Dolores , Jalisco. Clave Lada 424
Jilotzingo , Estado de México. Clave Lada 599
Jimenez del Teul , Zacatecas. Clave Lada 457
Jimenez , Coahuila. Clave Lada 878
Jiquilpan de Juarez , Michoacán. Clave Lada 353
Jiquipilas , Chiapas. Clave Lada 968
Jiquipilco El Viejo , Estado de México. Clave Lada 719
Jiquipilco , Estado de México. Clave Lada 712
Jitotol de Zaragoza , Chiapas. Clave Lada 919
Jiutepec , Morelos. Clave Lada 777
Joachin , Veracrúz. Clave Lada 274
Joaquin Herrera (La Cueva) , Querétaro. Clave Lada 442
Joconoxtle (La Tuna) , Jalisco. Clave Lada 392
Jocotepec , Jalisco. Clave Lada 387
Jocotitlan , Estado de México. Clave Lada 712
Jofrito , Querétaro. Clave Lada 442
Jojutla , Morelos. Clave Lada 734
Jolalpan , Puebla. Clave Lada 275
Jonacatepec , Morelos. Clave Lada 735
Jonotla , Puebla. Clave Lada 233
Jonuta , Tabasco. Clave Lada 913
Joquicingo de Leon Guzman , Estado de México. Clave Lada 714
Jorobas , Estado de México. Clave Lada 593
Jose Cardel , Veracrúz. Clave Lada 296
Jose Esteban Coronado , Chihuahua. Clave Lada 629
Jose Guadalupe Aguilera (Santa Lucia) , Durango. Clave Lada 677
Jose Guadalupe Rodriguez (Penuelas) , Durango. Clave Lada 676
Jose Maria Morelos (Chinacates) , Durango. Clave Lada 674
Jose Maria Morelos (Poza Verde) , Oaxaca. Clave Lada 954
Jose Maria Morelos (Pozo de los , Zacatecas. Clave Lada 496
Jose Maria Morelos (San Jose de Gracia) , Zacatecas. Clave Lada 457
Jose Maria Morelos (San Jose) , Hidalgo. Clave Lada 748
Jose Maria Morelos y Pavon (El , Tabasco. Clave Lada 933
Jose Maria Morelos y Pavon , Sonora. Clave Lada 622
Jose Maria Morelos , Chiapas. Clave Lada 963
Jose Maria Morelos , Jalisco. Clave Lada 322
Jose Maria Morelos , Quintana Roo. Clave Lada 997
Jose Maria Pino Suarez (La Colo , Zacatecas. Clave Lada 496
Jose Maria Pino Suarez Clave Lada 1ra. Se , Tabasco. Clave Lada 933
Jose Maria Pino Suarez , Durango. Clave Lada 618
Jose Maria Pino Suarez , Puebla. Clave Lada 238
Jose Refugio Salcido , Durango. Clave Lada 618
Jose Santos Banuelos (Banuelos , Zacatecas. Clave Lada 433
Josefino de Allende , Jalisco. Clave Lada 348
Juan Aldama (El Tigre) , Sinaloa. Clave Lada 697
Juan Aldama , Zacatecas. Clave Lada 498
Juan del Grijalva , Chiapas. Clave Lada 961
Juan Diaz Covarrubias , Veracrúz. Clave Lada 294
Juan Escutia (Borbollon) , Nayarit. Clave Lada 327
Juan Eugenio , Coahuila. Clave Lada 871
Juan Jacobo Torres (Bodega de , Veracrúz. Clave Lada 294
Juan Jose Rios , Sinaloa. Clave Lada 687
Juan Lucas , Guanajuato. Clave Lada 411
Juan Martin , Guanajuato. Clave Lada 461
Juan Mata Ortiz (Pearson) , Chihuahua. Clave Lada 636
Juan Morales , Morelos. Clave Lada 735
Juan Sabines , Chiapas. Clave Lada 963
Juanacatlan , Jalisco. Clave Lada 343
Juanita , Veracrúz. Clave Lada 924
Juarez , Coahuila. Clave Lada 861
Juarez , Chiapas. Clave Lada 932
Juarez , Nuevo León. Clave Lada 81
Jucatacato , Michoacán. Clave Lada 452
Juchipila , Zacatecas. Clave Lada 467
Juchique de Ferrer , Veracrúz. Clave Lada 279
Juchitan , Guerrero. Clave Lada 741
Juchitan , Oaxaca. Clave Lada 971
Juchitepec , Estado de México. Clave Lada 597
Juchitlan , Jalisco. Clave Lada 349
Julian Grajales , Chiapas. Clave Lada 961
Julimes , Chihuahua. Clave Lada 621
Jumiltepec , Morelos. Clave Lada 731
Jungapeo , Michoacán. Clave Lada 715
Juriquilla , Querétaro. Clave Lada 442
Juventino Rosas , Guanajuato. Clave Lada 412
Kanasin , Yucatán. Clave Lada 999
Kantunil , Yucatán. Clave Lada 988
Kantunilkin , Quintana Roo. Clave Lada 984
Kaua , Yucatán. Clave Lada 985
Kilometro Clave Lada 21 (El Veintiuno) , Guerrero. Clave Lada 744
Kilometro Clave Lada 30 , Guerrero. Clave Lada 744
Kilometro Noventa y Nueve , Chihuahua. Clave Lada 639
Kimbila , Yucatán. Clave Lada 988
Kinchil , Yucatán. Clave Lada 988
Komchen , Yucatán. Clave Lada 999
La "D" , Querétaro. Clave Lada 448
La Aldea , Guanajuato. Clave Lada 472
La Antigua , Veracrúz. Clave Lada 296
La Ascencion Huitzcolotepec , Tlaxcala. Clave Lada 241
La Ascension , Chihuahua. Clave Lada 636
La Ascension , Nuevo León. Clave Lada 826
La Atarjea , Guanajuato. Clave Lada 469
La Azozuca , Guerrero. Clave Lada 745
La Azteca , Chiapas. Clave Lada 966
La Barca , Jalisco. Clave Lada 393
La Barranca , Guanajuato. Clave Lada 445
La Barranca , Michoacán. Clave Lada 438
La Boquilla del Conchos , Chihuahua. Clave Lada 648
La Boquita , Nayarit. Clave Lada 319
La Brecha , Sinaloa. Clave Lada 687
La Bufadora , Baja California. Clave Lada 646
La Caja , Guanajuato. Clave Lada 462
La Cal Grande , Guanajuato. Clave Lada 469
La Calera (El Canario) , Guanajuato. Clave Lada 411
La Calera (Nacimientos) , Michoacán. Clave Lada 438
La Calera , Guanajuato. Clave Lada 462
La Calera , Jalisco. Clave Lada 33
La Calzada de la Merced , Guanajuato. Clave Lada 432
La Calle , Guanajuato. Clave Lada 469
La Camelia (Palo Blanco) , Veracrúz. Clave Lada 765
La Candelaria , Chiapas. Clave Lada 967
La Canada (Barrio La Canada) , Estado de México. Clave Lada 593
La Canada , Michoacán. Clave Lada 454
La Canada , Querétaro. Clave Lada 442
La Capilla , Hidalgo. Clave Lada 789
La Capilla , Veracrúz. Clave Lada 278
La Caridad (Fraccion G) , Sonora. Clave Lada 634
La Carreta Dos , Tamaulipas. Clave Lada 841
La Cerquilla , Veracrúz. Clave Lada 924
La Ciudad , Durango. Clave Lada 675
La Colonia (Estacion Colonias) , Tamaulipas. Clave Lada 836
La Compania , Guanajuato. Clave Lada 456
La Concepcion , Jalisco. Clave Lada 345
La Concepcion , Veracrúz. Clave Lada 228
La Concepcion , Veracrúz. Clave Lada 746
La Concepcion , Zacatecas. Clave Lada 496
La Concordia (Rosita) , Coahuila. Clave Lada 872
La Concha , Sinaloa. Clave Lada 695
La Constancia , Durango. Clave Lada 675
La Cruz de Loreto , Jalisco. Clave Lada 322
La Cruz , Chihuahua. Clave Lada 648
La Cruz , Hidalgo. Clave Lada 763
La Cruz , Sinaloa. Clave Lada 696
La Cuestita , Michoacán. Clave Lada 383
La Cuevita , Guanajuato. Clave Lada 413
La Chinantla (Poblado Diez) , Veracrúz. Clave Lada 922
La Choya , Sonora. Clave Lada 638
La Defensa , Veracrúz. Clave Lada 235
La Desembocada , Jalisco. Clave Lada 322
La Encarnacion , Guanajuato. Clave Lada 417
La Escondida , Guanajuato. Clave Lada 428
La Escondida , Michoacán. Clave Lada 436
La Escondida , Zacatecas. Clave Lada 492
La Esmeralda , Oaxaca. Clave Lada 994
La Esperanza , Coahuila. Clave Lada 871
La Esperanza , Estado de México. Clave Lada 588
La Esperanza , Michoacán. Clave Lada 383
La Estacada , Querétaro. Clave Lada 442
La Estancia de Ayones , Jalisco. Clave Lada 386
La Estancia de San Jose del Carmen , Guanajuato Clave Lada 466
La Estancia del Refugio , Guanajuato. Clave Lada 469
La Estancia , Hidalgo. Clave Lada 772
La Estancia , Querétaro. Clave Lada 427
La Estancia , Zacatecas. Clave Lada 346
La Estanzuela , Hidalgo. Clave Lada 771
La Estanzuela , Michoacán. Clave Lada 328
La Estrella , Jalisco. Clave Lada 312
La Estrella , Zacatecas. Clave Lada 496
La Excusa , Michoacán. Clave Lada 438
La Flor de Mayo y La Barca , Coahuila. Clave Lada 871
La Frontera , Jalisco. Clave Lada 343
La Fuente , Querétaro. Clave Lada 414
La Galarza , Puebla. Clave Lada 243
La Garita , Jalisco. Clave Lada 358
La Gloria , Veracrúz. Clave Lada 282
La Goleta , Michoacán. Clave Lada 451
La Goma , Durango. Clave Lada 871
La Gotera , Querétaro. Clave Lada 442
La Granja , Veracrúz. Clave Lada 288
La Griega , Querétaro. Clave Lada 442
La Guadalupe , Veracrúz. Clave Lada 746
La Higuera , Jalisco. Clave Lada 312
La Hincada , San Luis Potosí. Clave Lada 486
La Horqueta (Poblado Doce) , Veracrúz. Clave Lada 922
La Huacana , Michoacán. Clave Lada 425
La Huerta , Jalisco. Clave Lada 357
La Independencia , Chiapas. Clave Lada 963
La Jamona ,  Coahuila. Clave Lada 666
La Joya de Calvillo , Guanajuato. Clave Lada 429
La Joya , Durango. Clave Lada 675
La Joya , Morelos. Clave Lada 777
La Joya , Veracrúz. Clave Lada 228
La Labor , Aguascalientes. Clave Lada 495
La Labor , Nayarit. Clave Lada 327
La Ladera , Michoacán. Clave Lada 351
La Laguna (Poblado Seis) , Veracrúz. Clave Lada 924
La Laguna y Monte del Castillo , Veracrúz. Clave Lada 285
La Laguneta , Michoacán. Clave Lada 354
La Lagunilla , Hidalgo. Clave Lada 775
La Lagunita , Querétaro. Clave Lada 441
La Laja , Jalisco. Clave Lada 388
La Libertad ((Mpio. Suchiate) , Chiapas. Clave Lada 962
La Libertad (Mpio. La Libertad) , Chiapas. Clave Lada 934
La Libertad , Veracrúz. Clave Lada 235
La Lobena , Zacatecas. Clave Lada 496
La Lobera (El Rinon) , Guanajuato. Clave Lada 429
La Loma Julian Villagran , Hidalgo. Clave Lada 759
La Loma , Estado de México. Clave Lada 718
La Loma , Querétaro. Clave Lada 442
La Loma , San Luis Potosí. Clave Lada 444
La Luz (Mpio. Pajacuaran) , Michoacán. Clave Lada 328
La Luz (Mpio. Penjamillo) , Michoacán. Clave Lada 359
La Luz Mineral de la Luz , Guanajuato. Clave Lada 473
La Luz , Coahuila. Clave Lada 871
La Luz , Guanajuato Clave Lada 466
La Luz , Zacatecas. Clave Lada 492
La Magdalena Contreras , CDMX (Ciudad de México). Clave Lada 55
La Magdalena Tetela Morelos (La Magdalena) , Puebla. Clave Lada 223
La Magdalena Yancuitlalpan , Puebla. Clave Lada 244
La Magdalena , Chihuahua. Clave Lada 649
La Magdalena , Michoacán. Clave Lada 353
La Mantequilla , San Luis Potosí. Clave Lada 444
La Manzanilla de la Paz , Jalisco. Clave Lada 372
La Manzanilla , Jalisco. Clave Lada 315
La Mesa (El Fresnito) , Jalisco. Clave Lada 341
La Mira , Michoacán. Clave Lada 753
La Mocha , Guanajuato. Clave Lada 411
La Monja , Querétaro. Clave Lada 442
La Noria Hidalgo , Puebla. Clave Lada 275
La Noria , Michoacán. Clave Lada 328
La Noria , Querétaro. Clave Lada 448
La Norita , Guanajuato. Clave Lada 413
La Nortena , Chihuahua. Clave Lada 652
La Nueva Esperanza , Guanajuato. Clave Lada 429
La Nueva Victoria , Veracrúz. Clave Lada 294
La Ordena , Guanajuato. Clave Lada 464
La Palma (La Palma de Jesus) , Michoacán. Clave Lada 353
La Palma (Las Palmas) , Michoacán. Clave Lada 443
La Palma , Guanajuato. Clave Lada 464
La Palmilla , Veracrúz. Clave Lada 225
La Palmita (La Palmita de San G , Guanajuato. Clave Lada 461
La Panadera , Aguascalientes. Clave Lada 495
La Parota , Michoacán. Clave Lada 453
La Partida , Coahuila. Clave Lada 871
La Paz de Ordaz , Jalisco. Clave Lada 393
La Paz , Baja California Sur. Clave Lada 612
La Paz , Coahuila. Clave Lada 871
La Paz , Chihuahua. Clave Lada 625
La Paz , Jalisco. Clave Lada 496
La Paz , San Luis Potosí. Clave Lada 488
La Penita de Jaltemba , Nayarit. Clave Lada 327
La Penuela , Querétaro. Clave Lada 419
La Perla , Chihuahua. Clave Lada 648
La Pesca , Tamaulipas. Clave Lada 835
La Piedad (San Miguel Colorado) , Querétaro. Clave Lada 442
La Piedad , Michoacán. Clave Lada 352
La Pinta , Chihuahua. Clave Lada 652
La Placita de Morelos , Michoacán. Clave Lada 313
La Plaza de Fco. J. Mugica (Plaza del Limon) , Michoacán. Clave Lada 328
La Popular , Durango. Clave Lada 871
La Preciosita , Puebla. Clave Lada 248
La Presa de Uribe , Guanajuato. Clave Lada 429
La Presa , Nayarit. Clave Lada 323
La Presa , Tamaulipas. Clave Lada 834
La Primavera , Jalisco. Clave Lada 33
La Providencia , Guerrero. Clave Lada 744
La Providencia , Hidalgo. Clave Lada 771
La Puerta de santiago , Estado de México. Clave Lada 721
La Punta , Aguascalientes. Clave Lada 458
La Purisima , Durango. Clave Lada 674
La Purisima , Jalisco. Clave Lada 391
La Quemada , Guanajuato. Clave Lada 466
La Quemada , Guanajuato. Clave Lada 428
La Quemada , Jalisco. Clave Lada 386
La Reforma , Oaxaca. Clave Lada 954
La Reforma , San Luis Potosí. Clave Lada 487
La Reforma , Sinaloa. Clave Lada 697
La Reforma , Veracrúz. Clave Lada 279
La Ribera , Baja California Sur. Clave Lada 624
La Sardina , Guanajuato. Clave Lada 432
La Sauceda , Guanajuato. Clave Lada 418
La Sauceda , Michoacán. Clave Lada 351
La Soledad Salinas , Oaxaca. Clave Lada 995
La Soledad , Durango. Clave Lada 677
La Soledad , Guanajuato. Clave Lada 462
La Soledad , Tamaulipas. Clave Lada 899
La Talega , Guanajuato. Clave Lada 415
La Tesorera (Bajio de la Tesore , Zacatecas. Clave Lada 458
La Tijera , Jalisco. Clave Lada 33
La Tinaja , Guanajuato. Clave Lada 464
La Tinaja , Veracrúz. Clave Lada 278
La Trinidad , Jalisco. Clave Lada 348
La Trinidad , Puebla. Clave Lada 244
La Trinidad , Sinaloa. Clave Lada 687
La Trinitaria , Chiapas. Clave Lada 963
La Unidad Huitzizilapan , Estado de México. Clave Lada 728
La Union (Km Clave Lada 31) , Veracrúz. Clave Lada 784
La Union , Guerrero. Clave Lada 755
La Valla , Querétaro. Clave Lada 427
La Venta (Rancho La Venta) , Puebla. Clave Lada 244
La Venta de Ajuchitlancito , Querétaro. Clave Lada 448
La Venta del Astillero , Jalisco. Clave Lada 33
La Venta , Oaxaca. Clave Lada 971
La Venta , Tabasco. Clave Lada 923
La Ventosa , Oaxaca. Clave Lada 971
La Victoria , Veracrúz. Clave Lada 294
La Victoria , Zacatecas. Clave Lada 496
La Vigueta , Veracrúz. Clave Lada 232
La Yerbabuena , Michoacán. Clave Lada 471
Labor de Peralta , Guanajuato. Clave Lada 429
Labor de Valtierra , Guanajuato. Clave Lada 464
Lagartera Clave Lada 1ra. Seccion (Contitu , Tabasco. Clave Lada 993
Lagos de Moreno , Jalisco. Clave Lada 474
Laguna Chica (Pueblo Nuevo) , Veracrúz. Clave Lada 278
Laguna de Labradores , Nuevo León. Clave Lada 826
Laguna de San Vicente , San Luis Potosí. Clave Lada 485
Laguna del Mante , San Luis Potosí. Clave Lada 481
Laguna del Rey (Del Rey , Coahuila. Clave Lada 872
Laguna Grande , Zacatecas. Clave Lada 457
Laguna Larga de Cortes , Guanajuato. Clave Lada 469
Laguna Larga , Guanajuato. Clave Lada 462
Lagunas , Oaxaca. Clave Lada 972
Lagunillas (Mpio. Leon) , Guanajuato. Clave Lada 477
Lagunillas de Rayon (Alchichica) , Puebla. Clave Lada 243
Lagunillas , Guerrero. Clave Lada 755
Lagunillas , Guanajuato. Clave Lada 469
Lagunillas , Michoacán. Clave Lada 434
Lamadrid , Coahuila. Clave Lada 869
Lampazos , Nuevo León. Clave Lada 873
Landa , Querétaro. Clave Lada 441
Las Barrillas , Veracrúz. Clave Lada 921
Las Brisas (Emiliano Zapata) , Sinaloa. Clave Lada 687
Las Cabanas , Estado de México. Clave Lada 55
Las Canadas (Bosques de San Isidro) , Jalisco. Clave Lada 33
Las Canas , Guanajuato. Clave Lada 462
Las Carolinas (poblado nueve) , Veracrúz. Clave Lada 922
Las Cieneguitas , Michoacán. Clave Lada 356
Las Coloradas , Yucatán. Clave Lada 986
Las Cruces , Guerrero. Clave Lada 745
Las Cruces , Jalisco. Clave Lada 373
Las Cucharas , Veracrúz. Clave Lada 846
Las Choapas , Veracrúz. Clave Lada 923
Las Esperanzas (El Ranchito) , Zacatecas. Clave Lada 498
Las Esperanzas , Coahuila. Clave Lada 864
Las Fuentes , Michoacán. Clave Lada 328
Las Garzas , Chiapas. Clave Lada 917
Las Glorias , Sinaloa. Clave Lada 687
Las Grullas Margen Izquierdo , Sinaloa. Clave Lada 668
